Date,AD Spent,No.of.Leads,Cost per Lead,CTR,Link Click,LP Views,Member Passed,LP Conversion%
17Mar(Sun),1941.11,21.0,92.43380952380951,0.67%,100.0,80.0,80.0,26.25%
18Mar(Mon),2001.02,10.0,200.102,0.54%,97.0,63.0,64.94845360824742,15.87%
19Mar(Tue),2009.33,18.0,111.62944444444445,0.64%,135.0,87.0,64.44444444444444,20.69%
20Mar(Wed),1997.54,11.0,181.59454545454545,0.43%,92.0,75.0,81.52173913043478,14.67%
21Mar(Thu),1982.31,20.0,99.1155,0.5%,111.0,90.0,81.08108108108108,22.22%
22Mar(Fri),1983.0,11.0,180.27272727272728,0.41%,101.0,71.0,70.29702970297029,15.49%
23Mar(Sat),1941.17,15.0,129.41133333333335,0.4%,102.0,72.0,70.58823529411765,20.83%
24Mar(Sun),1573.42,5.0,314.684,0.47%,98.0,65.0,66.3265306122449,7.69%
31Mar(Sun),497.7,1.0,497.7,0.38%,22.0,14.0,63.63636363636363,7.14%
